,driver_BlockManager_memory_memUsed_MB_value,driver_jvm_heap_used_value,avg_jvm_heap_used_value,avg_executor_filesystem_hdfs_write_ops_value_1_diff,avg_executor_cpuTime_count_1_diff,avg_executor_runTime_count_1_diff,avg_executor_shuffleRecordsRead_count_1_diff,avg_executor_shuffleRecordsWritten_count_1_diff
0,505.0,802632640.0,2948889000.0,0.0,0.0,0.0,0.0,0.0
1,520.0,811308500.0,2972305000.0,0.0,0.0,0.0,0.0,0.0
2,536.0,792553660.0,2652632800.0,0.0,355610140.0,373.0,0.0,9981.0
3,482.0,779442200.0,2686896000.0,0.0,0.0,0.0,0.0,0.0
4,497.0,789423170.0,2706625800.0,0.0,0.0,0.0,0.0,0.0
5,513.0,799546300.0,2734955000.0,0.0,0.0,0.0,0.0,0.0
6,520.0,809106560.0,2767091000.0,0.0,0.0,0.0,0.0,0.0
7,536.0,870113800.0,3362902500.0,0.0,413246180.0,413.5,0.0,11365.0
8,490.0,895983740.0,3002716200.0,0.0,0.0,0.0,0.0,0.0
9,497.0,905913660.0,3035875300.0,0.0,0.0,0.0,0.0,0.0
10,513.0,914347260.0,3058137600.0,0.0,0.0,0.0,0.0,0.0
11,528.0,924304060.0,3082804000.0,0.0,0.0,0.0,0.0,0.0
12,536.0,978889000.0,3206346500.0,0.0,374169920.0,384.5,0.0,10119.0
13,482.0,1010281400.0,2839114000.0,0.0,0.0,0.0,0.0,0.0
14,497.0,1018532540.0,2867014700.0,0.0,0.0,0.0,0.0,0.0
15,505.0,1029018700.0,2896515800.0,0.0,0.0,0.0,0.0,0.0
16,520.0,1038963800.0,2921804300.0,0.0,0.0,0.0,0.0,0.0
17,535.0,1099968500.0,3010261800.0,0.0,332832300.0,342.0,0.0,15220.5
18,482.0,1127216300.0,3036420600.0,0.0,0.0,0.0,0.0,0.0
19,497.0,1137291800.0,3061734700.0,0.0,0.0,0.0,0.0,0.0
20,512.0,1147375400.0,3086673400.0,0.0,0.0,0.0,0.0,0.0
21,520.0,1154979500.0,3115405600.0,0.0,0.0,0.0,0.0,0.0
22,535.0,1216838700.0,2900346400.0,0.0,398169470.0,417.0,0.0,17520.0
23,489.0,1241796000.0,2932181800.0,0.0,0.0,0.0,0.0,0.0
24,497.0,1251366400.0,2961073200.0,0.0,0.0,0.0,0.0,0.0
25,512.0,1259580500.0,2986345000.0,0.0,0.0,0.0,0.0,0.0
26,527.0,1269787100.0,3015120000.0,0.0,0.0,0.0,0.0,0.0
27,535.0,1327864300.0,3176470300.0,0.0,372518750.0,386.5,0.0,15938.5
28,482.0,1356910500.0,3200945000.0,0.0,0.0,0.0,0.0,0.0
29,497.0,1365328400.0,3230289000.0,0.0,0.0,0.0,0.0,0.0
30,504.0,1374743400.0,3259576300.0,0.0,0.0,0.0,0.0,0.0
31,520.0,1384747600.0,3278594000.0,0.0,0.0,0.0,0.0,0.0
32,535.0,554428900.0,3049424600.0,0.0,385867230.0,408.5,0.0,16466.0
33,542.0,589058500.0,3075951600.0,0.0,0.0,0.0,0.0,0.0
34,496.0,604392600.0,3096499200.0,0.0,0.0,0.0,0.0,0.0
35,511.0,614413250.0,3124711000.0,0.0,0.0,0.0,0.0,0.0
36,519.0,621742850.0,3151140900.0,0.0,0.0,0.0,0.0,0.0
37,534.0,675447700.0,2945598200.0,0.0,389586200.0,412.5,0.0,16548.5
38,550.0,700436200.0,2972253700.0,0.0,0.0,0.0,0.0,0.0
39,496.0,725293700.0,3005486300.0,0.0,0.0,0.0,0.0,0.0
40,511.0,732892540.0,3032176400.0,0.0,0.0,0.0,0.0,0.0
41,526.0,743112770.0,3056949800.0,0.0,0.0,0.0,0.0,0.0
42,534.0,803027500.0,2817191400.0,0.0,372715620.0,396.5,0.0,15034.5
43,481.0,825329540.0,2842882000.0,0.0,0.0,0.0,0.0,0.0
44,496.0,835911400.0,2868863200.0,0.0,0.0,0.0,0.0,0.0
45,503.0,845365250.0,2897616100.0,0.0,0.0,0.0,0.0,0.0
46,518.0,856492800.0,2917505000.0,0.0,0.0,0.0,0.0,0.0
47,534.0,910491840.0,3004244500.0,0.0,331500130.0,346.5,0.0,13500.5
48,480.0,939940100.0,3032109000.0,0.0,0.0,0.0,0.0,0.0
49,496.0,950217500.0,3051559200.0,0.0,0.0,0.0,0.0,0.0
50,511.0,958401000.0,3077575000.0,0.0,0.0,0.0,0.0,0.0
51,518.0,968122100.0,3103292400.0,0.0,0.0,0.0,0.0,0.0
