,driver_BlockManager_memory_memUsed_MB_value,driver_jvm_heap_used_value,avg_jvm_heap_used_value,avg_executor_filesystem_hdfs_write_ops_value_1_diff,avg_executor_cpuTime_count_1_diff,avg_executor_runTime_count_1_diff,avg_executor_shuffleRecordsRead_count_1_diff,avg_executor_shuffleRecordsWritten_count_1_diff
0,5222.0,684425600.0,2918077700.0,0.0,0.0,0.0,0.0,0.0
1,5347.0,711874240.0,4537265700.0,0.0,0.0,0.0,0.0,0.0
2,5441.0,718731140.0,5219777500.0,0.0,3097966000.0,3180.5,0.0,38155.0
3,4453.0,765574660.0,6441232400.0,30.0,1496164600.0,1674.5,49933.0,11702.5
4,4580.0,767968400.0,6509153000.0,0.0,0.0,0.0,0.0,0.0
5,4676.0,772613100.0,6577397000.0,0.0,0.0,0.0,0.0,0.0
6,4771.0,778341200.0,6612100000.0,0.0,0.0,0.0,0.0,0.0
7,4899.0,781366660.0,6713757700.0,0.0,0.0,0.0,0.0,0.0
8,4994.0,785268100.0,6748366000.0,0.0,0.0,0.0,0.0,0.0
9,5089.0,791696260.0,4842552000.0,0.0,0.0,0.0,0.0,0.0
10,5216.0,794986800.0,4877535700.0,0.0,0.0,0.0,0.0,0.0
11,5312.0,822130800.0,4132182300.0,0.0,0.0,0.0,0.0,0.0
12,5405.0,830971840.0,6057161700.0,0.0,2535563300.0,2639.0,0.0,32448.5
13,5535.0,853307200.0,5541021000.0,15.0,1580290800.0,1773.0,29478.0,19227.0
14,4610.0,889499460.0,5856221000.0,15.0,863737340.0,1080.5,28955.5,8787.5
15,4706.0,891819970.0,5925051400.0,0.0,0.0,0.0,0.0,0.0
16,4833.0,896200640.0,6026137600.0,0.0,0.0,0.0,0.0,0.0
17,4928.0,900739800.0,6027497000.0,0.0,0.0,0.0,0.0,0.0
18,5023.0,902705150.0,6095576000.0,0.0,0.0,0.0,0.0,0.0
19,5150.0,907967000.0,3781049300.0,0.0,0.0,0.0,0.0,0.0
20,5245.0,909989300.0,3815476200.0,0.0,0.0,0.0,0.0,0.0
21,5340.0,939717000.0,5388666000.0,0.0,0.0,0.0,0.0,0.0
22,5466.0,948147800.0,5082112500.0,0.0,3233757200.0,3536.5,0.0,35300.0
23,5561.0,961853630.0,5020344300.0,15.0,1247561100.0,1322.0,25517.5,12363.5
24,4576.0,1004882300.0,5325933600.0,15.0,239674820.0,304.5,25196.5,0.0
25,4701.0,1009288770.0,5360390700.0,0.0,0.0,0.0,0.0,0.0
26,4764.0,1014656830.0,5427933000.0,0.0,0.0,0.0,0.0,0.0
27,4891.0,1020904300.0,5496230400.0,0.0,0.0,0.0,0.0,0.0
28,5018.0,1025933700.0,5564297000.0,0.0,0.0,0.0,0.0,0.0
29,5114.0,1030584700.0,5565672400.0,0.0,0.0,0.0,0.0,0.0
30,5209.0,1032551740.0,5666982400.0,0.0,0.0,0.0,0.0,0.0
31,5336.0,1060156900.0,5118318000.0,0.0,0.0,0.0,0.0,0.0
32,5432.0,1067107400.0,4624730000.0,0.0,3246999000.0,3388.0,0.0,35077.5
33,5528.0,1093198300.0,4247904800.0,15.0,1273386800.0,1372.0,24968.0,11886.5
34,4573.0,1137905400.0,4582521000.0,15.0,229733780.0,305.5,24786.0,0.0
35,4667.0,1142537700.0,4583877000.0,0.0,0.0,0.0,0.0,0.0
36,4761.0,1146728100.0,4683431000.0,0.0,0.0,0.0,0.0,0.0
37,4886.0,1149056900.0,4750932000.0,0.0,0.0,0.0,0.0,0.0
38,4981.0,1155014100.0,4752292400.0,0.0,0.0,0.0,0.0,0.0
39,5013.0,1159363700.0,4820552700.0,0.0,0.0,0.0,0.0,0.0
40,5181.0,1163435100.0,4915223600.0,0.0,0.0,0.0,0.0,0.0
41,5255.0,1192706800.0,4347523600.0,0.0,0.0,0.0,0.0,0.0
42,5394.0,1202267500.0,3959340500.0,0.0,3103583000.0,3267.0,0.0,37441.5
43,5522.0,308786050.0,5267915300.0,20.5,1428834400.0,1550.0,35315.5,14485.0
44,4600.0,326904770.0,5407551500.0,9.5,147811440.0,391.0,17328.0,0.0
45,4696.0,330916100.0,5509063000.0,0.0,0.0,0.0,0.0,0.0
46,4822.0,334676030.0,5576954400.0,0.0,0.0,0.0,0.0,0.0
47,4918.0,339712060.0,5578309000.0,0.0,0.0,0.0,0.0,0.0
48,5013.0,339712100.0,5679339500.0,0.0,0.0,0.0,0.0,0.0
49,5139.0,345223580.0,5747273000.0,0.0,0.0,0.0,0.0,0.0
50,5234.0,351577700.0,5781595000.0,0.0,0.0,0.0,0.0,0.0
51,5329.0,376916670.0,5436056600.0,0.0,0.0,0.0,0.0,0.0
52,5456.0,393025340.0,5091116500.0,0.0,3206870000.0,3365.0,0.0,38360.0
53,5553.0,411974600.0,4193501000.0,15.0,938239800.0,1256.0,27097.0,9107.0
54,4571.0,447721100.0,4446329300.0,15.0,229094800.0,493.5,26804.5,0.0
55,4698.0,448233000.0,4517443000.0,0.0,0.0,0.0,0.0,0.0
56,4793.0,457598750.0,4552355300.0,0.0,0.0,0.0,0.0,0.0
57,4889.0,459052260.0,4653867000.0,0.0,0.0,0.0,0.0,0.0
