,driver_BlockManager_memory_memUsed_MB_value,driver_jvm_heap_used_value,avg_jvm_heap_used_value,avg_executor_filesystem_hdfs_write_ops_value_1_diff,avg_executor_cpuTime_count_1_diff,avg_executor_runTime_count_1_diff,avg_executor_shuffleRecordsRead_count_1_diff,avg_executor_shuffleRecordsWritten_count_1_diff
0,2100.0,1095197200.0,2665584000.0,0.0,0.0,0.0,0.0,0.0
1,2134.0,1100890200.0,2690257700.0,0.0,0.0,0.0,0.0,0.0
2,2200.0,1106092000.0,2731372800.0,0.0,0.0,0.0,0.0,0.0
3,2265.0,1128137700.0,2116565200.0,0.0,483735360.0,486.0,0.0,8302.0
4,2299.0,1165589200.0,2580706800.0,40.0,1146078300.0,1529.0,25885.0,9968.0
5,2066.0,1193953300.0,2625281800.0,0.0,0.0,0.0,0.0,0.0
6,2132.0,1198747900.0,2646935000.0,0.0,0.0,0.0,0.0,0.0
7,2164.0,1205392100.0,2687791600.0,0.0,0.0,0.0,0.0,0.0
8,2230.0,1238862700.0,2444304100.0,0.0,492753800.0,494.0,0.0,8661.5
9,2281.0,1255241200.0,2770529300.0,13.0,547165900.0,1033.0,7721.5,5995.0
10,2281.0,1255241200.0,2770529300.0,0.0,0.0,0.0,0.0,0.0
11,2130.0,1294393100.0,2066343700.0,27.0,281427800.0,1602.5,17976.5,0.0
12,2196.0,1298208400.0,2105801900.0,0.0,0.0,0.0,0.0,0.0
13,2229.0,1328141600.0,1614816400.0,0.0,528208480.0,566.5,0.0,10527.5
14,2296.0,1356936700.0,2185916200.0,39.5,1200339000.0,1593.0,34505.5,12501.5
15,2096.0,1389024400.0,2227403000.0,0.5,10228394.0,215.0,904.0,0.0
16,2129.0,1393736400.0,2252633600.0,0.0,0.0,0.0,0.0,0.0
17,2195.0,1396635900.0,2310815500.0,0.0,0.0,0.0,0.0,0.0
18,2261.0,1420605400.0,1771037000.0,0.0,489581220.0,523.5,0.0,10040.0
19,2295.0,1445785300.0,1938794600.0,28.0,932035600.0,1474.0,22765.5,12555.0
20,2361.0,1466957700.0,2110995300.0,12.0,120719840.0,590.5,11269.0,0.0
21,2129.0,1487116300.0,2150128000.0,0.0,0.0,0.0,0.0,0.0
22,2162.0,1495667300.0,2174412000.0,0.0,0.0,0.0,0.0,0.0
